Polar MLT image start and end times
2008-01-15/22:46    2008-01-15/23:58
2008-01-16/00:00    2008-01-16/03:19
2008-01-16/03:21    2008-01-16/06:38
2008-01-16/14:09    2008-01-16/21:03
2008-01-16/21:06    2008-01-16/23:58
2008-01-17/00:21    2008-01-17/03:18
2008-01-17/08:42    2008-01-17/21:23
2008-01-18/03:25    2008-01-18/13:22
2008-01-18/13:31    2008-01-18/15:48
2008-01-19/00:53    2008-01-19/10:17
2008-01-19/15:51    2008-01-19/17:14
2008-01-19/17:21    2008-01-19/19:32
2008-01-19/20:09    2008-01-19/23:57
2008-01-20/00:00    2008-01-20/05:18
2008-01-20/10:40    2008-01-20/11:45
2008-01-20/11:52    2008-01-20/13:09
2008-01-20/13:16    2008-01-20/23:58
2008-01-21/05:05    2008-01-21/17:34
2008-01-21/23:21    2008-01-21/23:58
2008-01-22/00:17    2008-01-22/09:28
2008-01-22/09:31    2008-01-22/11:48
2008-01-22/18:04    2008-01-22/18:52
2008-01-22/19:05    2008-01-22/22:58
2008-01-22/23:00    2008-01-22/23:57
2008-01-23/00:00    2008-01-23/05:43
2008-01-23/05:45    2008-01-23/07:39
2008-01-23/12:52    2008-01-23/15:45
2008-01-23/16:16    2008-01-23/17:47
2008-01-23/17:49    2008-01-23/23:57
2008-01-24/00:18    2008-01-24/02:12
2008-01-27/16:41    2008-01-27/20:15
2008-01-27/22:15    2008-01-27/22:51
2008-01-28/04:17    2008-01-28/07:33
2008-01-28/07:35    2008-01-28/16:17
2008-01-29/00:19    2008-01-29/03:44
2008-01-29/03:46    2008-01-29/11:34
2008-01-29/18:52    2008-01-29/21:45
2008-01-29/21:58    2008-01-29/23:58
2008-01-30/00:00    2008-01-30/04:58
2008-01-30/05:00    2008-01-30/05:54
2008-01-30/11:49    2008-01-30/15:18
2008-01-30/15:58    2008-01-30/18:16
2008-01-30/18:47    2008-01-30/23:58
2008-01-31/00:00    2008-01-31/00:42
2008-01-31/07:41    2008-01-31/08:28
2008-01-31/08:30    2008-01-31/18:36
2008-02-01/02:52    2008-02-01/09:23
2008-02-01/09:25    2008-02-01/10:23
2008-02-01/19:45    2008-02-01/20:20
2008-02-01/20:33    2008-02-01/23:57
2008-02-02/00:00    2008-02-02/07:13
2008-02-02/15:28    2008-02-02/17:03
2008-02-02/18:58    2008-02-02/23:30
2008-02-03/00:04    2008-02-03/01:48
2008-02-03/01:50    2008-02-03/02:32
2008-02-03/08:43    2008-02-03/14:00
2008-02-03/14:13    2008-02-03/18:53
2008-02-03/19:18    2008-02-03/20:35
2008-02-04/04:24    2008-02-04/10:42
2008-02-04/10:49    2008-02-04/15:00
2008-02-04/21:09    2008-02-04/22:32
2008-02-04/23:03    2008-02-04/23:58
2008-02-05/00:00    2008-02-05/02:35
2008-02-05/02:37    2008-02-05/06:53
2008-02-05/07:43    2008-02-05/08:14
2008-02-05/08:16    2008-02-05/09:34
2008-02-05/17:32    2008-02-05/18:31
2008-02-05/21:48    2008-02-05/23:58
2008-02-06/00:00    2008-02-06/04:08
2008-02-06/10:11    2008-02-06/13:34
2008-02-06/14:29    2008-02-06/16:46
2008-02-06/17:11    2008-02-06/22:58
2008-02-07/04:59    2008-02-07/16:58
2008-02-08/00:07    2008-02-08/05:18
2008-02-08/05:21    2008-02-08/06:43
2008-02-08/19:29    2008-02-08/23:57
2008-02-09/00:00    2008-02-09/06:48
2008-02-09/13:55    2008-02-09/14:42
2008-02-09/16:25    2008-02-09/18:18
2008-02-09/19:25    2008-02-09/23:58
2008-02-10/00:00    2008-02-10/01:06
2008-02-10/08:18    2008-02-10/14:53
2008-02-10/15:06    2008-02-10/19:29
