Polar MLT image start and end times
2007-07-03/22:13    2007-07-03/22:51
2007-07-04/04:19    2007-07-04/05:00
2007-07-04/05:07    2007-07-04/05:43
2007-07-04/17:03    2007-07-04/17:56
2007-07-11/01:25    2007-07-11/02:12
2007-07-11/07:46    2007-07-11/08:33
2007-07-11/09:46    2007-07-11/11:15
2007-07-12/06:37    2007-07-12/07:54
2007-07-14/12:16    2007-07-14/16:21
2007-07-15/00:00    2007-07-15/01:00
2007-07-15/05:01    2007-07-15/06:42
2007-07-20/09:08    2007-07-20/11:08
2007-07-20/11:15    2007-07-20/12:38
2007-07-21/02:49    2007-07-21/03:54
2007-07-22/04:01    2007-07-22/04:54
2007-07-25/04:53    2007-07-25/06:22
2007-07-29/02:55    2007-07-29/03:42
2007-07-29/16:55    2007-07-29/17:25
2007-07-30/07:37    2007-07-30/08:18
2007-07-31/05:55    2007-07-31/09:30
2007-08-01/02:07    2007-08-01/05:48
2007-08-04/05:13    2007-08-04/05:58
2007-08-06/22:15    2007-08-06/23:08
2007-08-07/01:50    2007-08-07/02:41
2007-08-07/04:08    2007-08-07/08:13
2007-08-10/01:09    2007-08-10/03:02
2007-08-10/05:19    2007-08-10/09:30
2007-08-11/00:53    2007-08-11/05:40
2007-08-11/23:08    2007-08-11/23:58
2007-08-13/08:07    2007-08-13/09:38
2007-08-13/09:40    2007-08-13/10:22
2007-08-14/01:43    2007-08-14/05:12
2007-08-14/05:22    2007-08-14/07:34
2007-08-17/03:53    2007-08-17/08:46
2007-08-20/06:08    2007-08-20/11:01
2007-08-28/00:01    2007-08-28/03:44
2007-08-30/04:23    2007-08-30/05:52
2007-08-30/09:53    2007-08-30/11:16
2007-08-31/00:43    2007-08-31/04:24
2007-09-01/07:54    2007-09-01/08:59
2007-09-01/10:48    2007-09-01/11:35
2007-09-02/02:48    2007-09-02/03:48
2007-09-02/11:40    2007-09-02/12:15
2007-09-02/12:58    2007-09-02/13:45
2007-09-03/02:15    2007-09-03/06:32
2007-09-03/15:03    2007-09-03/15:38
2007-09-03/22:03    2007-09-03/23:58
2007-09-04/00:00    2007-09-04/01:18
2007-09-06/03:31    2007-09-06/04:06
2007-09-06/07:43    2007-09-06/08:54
2007-09-06/17:34    2007-09-06/18:39
2007-09-06/22:22    2007-09-06/23:39
2007-09-07/00:35    2007-09-07/01:32
2007-09-07/01:34    2007-09-07/02:16
2007-09-07/02:18    2007-09-07/03:13
2007-09-10/01:18    2007-09-10/04:35
2007-09-10/05:09    2007-09-10/06:50
2007-09-10/21:15    2007-09-10/22:13
2007-09-13/23:20    2007-09-13/23:57
2007-09-14/00:00    2007-09-14/02:48
2007-09-17/20:16    2007-09-17/22:33
2007-09-18/00:00    2007-09-18/00:54
2007-09-20/01:58    2007-09-20/05:50
2007-09-20/18:06    2007-09-20/19:29
2007-09-20/22:00    2007-09-20/23:57
2007-09-21/00:00    2007-09-21/01:30
2007-09-21/20:31    2007-09-21/21:48
2007-09-22/02:56    2007-09-22/03:49
2007-09-23/01:37    2007-09-23/06:24
2007-09-23/06:41    2007-09-23/08:35
2007-09-23/21:57    2007-09-23/23:57
2007-09-24/00:00    2007-09-24/04:00
2007-09-24/19:58    2007-09-24/21:00
2007-09-24/21:03    2007-09-24/21:51
2007-09-26/23:00    2007-09-26/23:58
2007-09-27/00:00    2007-09-27/00:38
2007-09-27/00:40    2007-09-27/04:58
2007-09-27/06:05    2007-09-27/06:58
2007-09-27/21:36    2007-09-27/23:58
2007-09-28/00:00    2007-09-28/01:30
2007-09-28/06:41    2007-09-28/07:58
2007-09-28/17:35    2007-09-28/19:52
2007-09-29/01:19    2007-09-29/02:57
2007-09-29/02:59    2007-09-29/03:56
2007-09-29/03:58    2007-09-29/05:46
2007-09-29/07:05    2007-09-29/08:22
2007-09-29/15:05    2007-09-29/15:46
2007-09-29/19:53    2007-09-29/20:52
2007-09-29/21:47    2007-09-29/23:09
2007-09-29/23:11    2007-09-29/23:57
2007-09-30/00:00    2007-09-30/00:48
2007-09-30/01:08    2007-09-30/05:26
2007-09-30/05:33    2007-09-30/07:20
2007-09-30/08:21    2007-09-30/09:32
2007-09-30/21:33    2007-09-30/23:57
2007-10-01/00:00    2007-10-01/02:48
2007-10-01/10:49    2007-10-01/11:24
2007-10-01/18:31    2007-10-01/20:06
2007-10-01/21:01    2007-10-01/22:14
2007-10-02/03:37    2007-10-02/04:30
2007-10-02/15:01    2007-10-02/15:42
2007-10-03/03:50    2007-10-03/06:01
2007-10-03/07:49    2007-10-03/09:24
2007-10-03/11:01    2007-10-03/12:06
2007-10-03/22:36    2007-10-03/23:58
2007-10-04/00:11    2007-10-04/01:01
2007-10-04/01:03    2007-10-04/02:08
2007-10-04/02:42    2007-10-04/23:04
2007-10-04/23:06    2007-10-04/23:58
2007-10-05/05:33    2007-10-05/06:20
2007-10-06/00:01    2007-10-06/00:54
2007-10-06/01:07    2007-10-06/02:24
2007-10-06/23:18    2007-10-06/23:57
2007-10-07/00:00    2007-10-07/02:34
2007-10-07/02:36    2007-10-07/05:30
2007-10-07/06:37    2007-10-07/07:36
2007-10-07/21:37    2007-10-07/23:57
2007-10-08/01:02    2007-10-08/02:25
2007-10-08/17:05    2007-10-08/18:22
2007-10-08/19:05    2007-10-08/20:28
2007-10-09/02:13    2007-10-09/03:06
2007-10-10/00:47    2007-10-10/03:35
2007-10-10/06:31    2007-10-10/07:23
2007-10-10/07:25    2007-10-10/07:55
2007-10-10/09:32    2007-10-10/10:07
2007-10-10/21:59    2007-10-10/23:58
2007-10-11/00:16    2007-10-11/03:33
2007-10-11/10:18    2007-10-11/10:53
2007-10-11/18:32    2007-10-11/19:54
2007-10-11/21:04    2007-10-11/22:10
2007-10-12/04:07    2007-10-12/05:06
2007-10-12/16:33    2007-10-12/17:26
2007-10-13/00:07    2007-10-13/03:00
2007-10-13/05:55    2007-10-13/08:18
2007-10-13/20:35    2007-10-13/21:20
2007-10-13/21:22    2007-10-13/22:22
2007-10-14/00:04    2007-10-14/04:28
2007-10-14/05:05    2007-10-14/06:22
2007-10-14/19:33    2007-10-14/22:14
2007-10-14/22:33    2007-10-14/23:58
2007-10-15/00:00    2007-10-15/00:36
2007-10-15/06:07    2007-10-15/07:06
2007-10-15/11:36    2007-10-15/12:12
2007-10-15/16:01    2007-10-15/17:06
2007-10-15/18:31    2007-10-15/19:36
2007-10-16/00:37    2007-10-16/05:12
2007-10-16/13:34    2007-10-16/14:09
2007-10-17/01:29    2007-10-17/05:12
2007-10-17/05:14    2007-10-17/06:14
2007-10-17/07:33    2007-10-17/08:05
2007-10-17/19:43    2007-10-17/23:57
2007-10-18/00:00    2007-10-18/02:36
2007-10-18/08:49    2007-10-18/10:00
2007-10-18/10:55    2007-10-18/11:42
2007-10-18/19:00    2007-10-18/21:17
2007-10-19/02:43    2007-10-19/04:12
2007-10-19/05:07    2007-10-19/08:06
2007-10-19/12:52    2007-10-19/14:21
2007-10-19/15:46    2007-10-19/16:33
2007-10-19/21:16    2007-10-19/23:58
2007-10-20/00:00    2007-10-20/05:12
2007-10-20/08:01    2007-10-20/09:06
2007-10-20/16:08    2007-10-20/17:31
2007-10-20/17:38    2007-10-20/18:19
2007-10-20/20:02    2007-10-20/20:38
2007-10-20/21:13    2007-10-20/22:54
2007-10-21/00:11    2007-10-21/01:14
2007-10-21/01:16    2007-10-21/02:49
2007-10-21/02:51    2007-10-21/03:48
