FAC start and end times
2007-08-30/09:53    2007-08-30/11:16
2007-08-31/00:43    2007-08-31/04:24
2007-09-01/07:54    2007-09-01/08:59
2007-09-01/10:48    2007-09-01/11:35
2007-09-02/02:48    2007-09-02/03:48
2007-09-02/11:40    2007-09-02/12:15
2007-09-02/12:58    2007-09-02/13:45
2007-09-03/02:15    2007-09-03/06:32
2007-09-03/15:03    2007-09-03/15:38
2007-09-06/03:31    2007-09-06/04:06
2007-09-06/07:43    2007-09-06/08:54
2007-09-06/17:34    2007-09-06/18:39
2007-09-06/22:22    2007-09-06/23:39
2007-09-07/00:35    2007-09-07/03:13
2007-09-10/01:18    2007-09-10/04:35
2007-09-10/05:09    2007-09-10/06:50
2007-09-10/21:15    2007-09-10/22:13
2007-09-13/23:20    2007-09-14/02:48
2007-09-17/20:16    2007-09-17/22:33
2007-09-18/00:00    2007-09-18/00:54
2007-09-20/01:58    2007-09-20/05:50
2007-09-20/18:06    2007-09-20/19:29
2007-09-21/20:31    2007-09-21/21:48
2007-09-22/02:56    2007-09-22/03:49
2007-09-23/01:37    2007-09-23/06:24
2007-09-23/06:41    2007-09-23/08:35
2007-09-24/19:58    2007-09-24/21:51
2007-09-26/23:00    2007-09-27/04:58
2007-09-27/06:05    2007-09-27/06:58
2007-09-28/06:41    2007-09-28/07:58
2007-09-28/17:35    2007-09-28/19:52
2007-09-29/01:19    2007-09-29/05:46
2007-09-29/07:05    2007-09-29/08:22
2007-09-29/15:05    2007-09-29/15:46
2007-09-29/19:53    2007-09-29/20:52
2007-09-30/01:08    2007-09-30/05:26
2007-09-30/05:33    2007-09-30/07:20
2007-09-30/08:21    2007-09-30/09:32
2007-10-01/10:49    2007-10-01/11:24
2007-10-01/18:31    2007-10-01/20:06
2007-10-01/21:01    2007-10-01/22:14
2007-10-02/03:37    2007-10-02/04:30
2007-10-02/15:01    2007-10-02/15:42
2007-10-03/03:50    2007-10-03/06:01
2007-10-03/07:49    2007-10-03/09:24
2007-10-03/11:01    2007-10-03/12:06
2007-10-03/22:36    2007-10-03/23:58
2007-10-04/00:11    2007-10-04/02:08
2007-10-04/02:42    2007-10-04/23:58
2007-10-05/05:33    2007-10-05/06:20
2007-10-06/00:01    2007-10-06/00:54
2007-10-06/01:07    2007-10-06/02:24
